,backtest_length,diff_list_length,total_returns,win_rate
,,,,
AAPL,5243,146,0.27213984771974475,0.7534246575342466
AMGN,5243,159,2.1080900669436575,0.660377358490566
AXP,5243,174,9.085144790151695,0.735632183908046
BA,5243,154,0.6100349023155432,0.7012987012987013
CAT,5243,154,0.923998765931474,0.6428571428571429
CRM,4121,127,18.337439554748585,0.7401574803149606
CSCO,5243,162,0.5341204500995904,0.6790123456790124
CVX,5243,165,0.5680832022886839,0.703030303030303
DIS,5243,161,2.6692841503001503,0.7267080745341615
DOW,411,12,-0.05679429790397315,0.75
GS,5243,142,-0.24910344024699937,0.6549295774647887
HD,5243,162,2.8425586352380425,0.7283950617283951
HON,5243,170,2.4631592811449443,0.7352941176470589
IBM,5243,153,-0.24417910612091248,0.6535947712418301
INTC,5243,159,0.09561652153737261,0.660377358490566
JNJ,5243,171,2.598236444328811,0.7134502923976608
JPM,5243,159,0.7286766221251705,0.6540880503144654
KO,5243,178,2.3606388270168943,0.7134831460674157
MCD,5243,164,2.643017251529265,0.7073170731707317
MMM,5243,166,2.176357885702508,0.6867469879518072
MRK,5243,164,0.5676883741201739,0.6829268292682927
MSFT,5243,166,2.5089957450851834,0.7228915662650602
NKE,5243,160,11.167028734751685,0.74375
PG,5243,169,3.985813946945808,0.7218934911242604
TRV,5243,166,2.7828142246270913,0.7048192771084337
UNH,5243,158,11.46609772959974,0.7088607594936709
V,3180,107,10.47738468899647,0.8317757009345794
VZ,5243,162,0.10858250081195077,0.6234567901234568
WBA,5243,161,0.9343410026304403,0.6832298136645962
WMT,5243,178,6.835140115434977,0.7303370786516854
