,total_trading_times,avg_trading_times,avg_win_rate,avg_return_rate
EMA,49183.0,507.0412371134021,0.7349674933207867,16.580782964043692
EMAandMACD,15801.0,164.59375,0.7137456364126419,8.681705860282024
EMAandSMA,17222.0,179.39583333333334,0.8080167068020621,7.253921152617252
MACD,16448.0,171.33333333333334,0.7175443153180344,8.251961801528724
MACD_10_20,18735.0,193.1443298969072,0.7148688880191626,9.135552908964506
MACD_10_20andRSI30andEMA,1404.0,14.625,0.7869126882873686,3.1764400962965773
MACD_10_20andRSI50andEMA,12442.0,129.60416666666666,0.7210766901625788,7.284874714132976
MACD_10_20andRSI50andEMAandSMA,11123.0,115.86458333333333,0.7520579173498562,6.768361563704751
MACD_10_20andRSI50andSMA,11123.0,115.86458333333333,0.7522483980059825,6.709422084600811
MFI,1409.0,14.83157894736842,0.7523896839320037,3.0024663289791427
MFIandEMA,1385.0,14.578947368421053,0.754308398862759,3.006868903344432
MFIandMACD_10_20,1395.0,14.68421052631579,0.7510806362635787,3.026670198992325
MFIandRSI30,674.0,7.170212765957447,0.7945212293616548,2.4501167945679736
MFIandRSI50,1382.0,14.547368421052632,0.7505686983041729,2.902050865170417
MFIandSMA,1382.0,14.547368421052632,0.7494804493814772,2.889067292800133
Random,67967.0,700.6907216494845,0.5361994367000392,5.6472190548629815
RSI20,188.0,2.292682926829268,0.8701219512195121,2.151911155395138
RSI30,1404.0,14.625,0.7869126882873686,3.1749906569729234
RSI30andEMA,1404.0,14.625,0.7869126882873686,3.1749906569729234
RSI30andMACD_10_20,1404.0,14.625,0.7869126882873686,3.1764400962965773
RSI30andSMA,1404.0,14.625,0.7869126882873686,3.1749906569729234
RSI50,22882.0,235.89690721649484,0.8076983618666679,7.024926990647626
RSI50andEMA,20265.0,208.91752577319588,0.7890348472403822,8.077699416000554
RSI50andMACD_10_20,12442.0,129.60416666666666,0.7213040564791662,7.2429202729552
RSI50andSMA,16642.0,173.35416666666666,0.8078938178264149,6.535580214694316
SMA,19286.0,200.89583333333334,0.8211816623798033,6.697068857671351
